"твой (твоя́, твоё, твои́)","[代]你的"
ёж,刺猬
я́блоко,苹果
мо́жно,[副]可以
пожа́луйста,"[луста] [语气]请; 不要客气"
декана́т,"系主任办公室; 系领导"
ба́бушка,祖母
пра́вда,"真话; [插]的确，确实"
зонт,伞
игра́,"游戏，比赛"
класс,"年级，班"
его́,"[代]他(它)的"
её,"[代]她(它)的"
их,"[代]他们(它们)的; 她们的"
"здра́вствуй(те)","[аст] [命]你(您，你们)好"
До свида́ния!,再见!
Как дела́?,近来怎么样?
,
● 人名,
Ю́ра,尤拉(男)

俄语单词,释义
нос,鼻子
остано́вка,汽车站
ем,(我)吃
мать,母亲
где,"[副]在哪里，在什么地方"
нет,"[语气]不，不是，不对(否定回答)"
днём,[副]在白天
тётя,"姨，婶，姑"
дядя,"叔，伯，舅，姑父"
студе́нт,男大学生
студе́нтка,女大学生
апте́ка,药房
институ́т,学院
кни́га,书
рис,"米，米饭"
лист,"张，页"
здесь,[副]这里
и́мя,名字
ме́сто,地方
ле́том,"[副](在)夏天"
слова́рь,[阳]词典
письмо́,信
зимо́й,"[副](在)冬天"
газе́та,报纸
магази́н,商店
экску́рсия,"游览，参观"
поликли́ника,门诊部
жена́,妻子
инжене́р,工程师
эта́ж,(楼)层
а́дрес,地址
музе́й,博物馆
метро́,地铁
теа́тр,"剧院; 戏剧"
сестра́,姐妹
семья́,家庭
тетра́дь,[阴]练习本
тепло́,[副]温暖地
о́сенью,"[副](在)秋天"
сего́дня,[副]今天
извини́те,[命]请原谅
преподава́тель,"[阳](大学)老师"
"скажи́ (скажи́те)","[命]请(您)说，请问"
суперма́ркет,超市
аудито́рия,(大学的)教室
де́душка,爷爷
пе́сня,"歌，歌曲"
мо́ре,大海
упражне́ние,练习
покажи́те,"[命]请把……给看，请出示"
да́йте,"[命]请把……给，请……交给"
что,[代]什么
коне́чно,"[шно] [插]当然"
вещь,"[阴]东西，物品"
чай,茶
врач,医生
дочь,女儿
ча́шка,"碗，杯"
ру́чка,钢笔
по́чта,邮局
пло́щадь,"[阴]广场"
ва́за,花瓶
сейча́с,"[副]现在"
ро́за,玫瑰
часы́,"[复]钟，表"
столо́вая,食堂
уче́бник,教科书
альбо́м,"相册，纪念册"
телефо́н,电话
посмотри́,"[命](你)看"
общежи́тие,集体宿舍
гара́ж,车库
нельзя́,"[副]不能，不许"
позвони́,"[命]请打电话"
университе́т,大学
ничего́,"[副]没关系，不要紧，还可以"
моро́женое,冰淇淋
то́лько,"[语气]仅仅，只"
дире́ктор,"经理，院长，(中小学)校长"
о́чень,"[副]很，非常"
сле́ва,"[副](在)左边; (从)左边"
всегда́,"[副]永远，总是"
спра́ва,"[副](在)右边; (从)右边"
,
● 人名,
Еле́на,叶连娜(女)
Ви́ктор,维克多(男)
,
● 地名,
МГУ,莫大(莫斯科大学的简称)
стадио́н «Лужники́»,卢日尼基体育场
Кра́сная пло́щадь,红场
Хуачжу́нский университе́т нау́ки и те́хники,华中理工大学(中国)
Пло́щадь Тяньаньмэ́нь,天安门广场
Ру́сский музе́й,俄罗斯博物馆
Большо́й теа́тр,大剧院
Кремль,克里姆林宫

俄语单词,释义
статья́,文章
друзья́,"[复]朋友们"
ви́за,签证
ко́фе,"[不变,阳]咖啡"
фе́рмер,农场主
обе́д,午饭
биле́т,"票,券,(身份、职务的)证件"
весно́й,"[副](在)春天"
проспе́кт,大街
конве́рт,信封
ве́чером,"[副](在)晚上"
переры́в,"(课间,工间)休息时间"
де́ньги,"[复]钱"
хи́мик,化学工作者
кино́,"[不变,中]电影,影院"
кио́ск,书报亭
био́лог,生物工作者
кинотеа́тр,电影院
родно́й,"亲的,亲近的,家乡的"
цирк,"马戏,杂技"
центр,中心
ци́фра,数字
оте́ц,父亲
цена́,价格
у́лица,街道
столи́ца,首都
табли́ца,"表,表格"
гости́ница,"宾馆,饭店"
оди́н,"[数]一,一个"
три,"[数]三"
това́рищ,同志
ночь,"[阴]夜"
челове́к,人
лю́ди,"[复](челове́к 的复数)人们"
ребёнок,孩子
де́ти,"[复]儿童们,小孩子们"
глаз,"(复数 глаза́) 眼睛"
фа́брика,工厂
вы́ставка,"展览,展览会"
трамва́й,有轨电车
дива́н,长沙发
телеви́зор,"电视机,电视"
кре́сло,"安乐椅,单人沙发"
карти́на,色彩画
"чей (чья, чьё, чьи)","[代]谁的"
муж,丈夫
Дава́йте познако́мимся.,"让我们认识一下。"
прия́тно,"[副]愉快"
спортсме́н,运动员
спортсме́нка,女运动员
журнали́ст,新闻记者
журнали́стка,女新闻记者
шко́льник,中小学(男)学生
шко́льница,中小学(女)学生
домохозя́йка,家庭主妇
экономи́ст,经济学家
юри́ст,"法律学家,律师"
бизнесме́н,商人
роди́тели,"[复]父母亲"
программи́ст,程序设计员
знать,"[未]知道"
никто́,"[代](谁)也不，没有人"
позови́те,"[命]请叫……"
приве́т,你好
пока́,"[副]回头见，暂时"
норма́льно,"[副]正常地; (口)挺好地"
сигаре́та,香烟
,
● 人名,
Илья́,伊里亚(男)
Да́рья,达里娅(女)
И́горь,伊戈尔(男)
Са́ша,萨沙
Джон,约翰(男)
Кла́ра,克拉拉(女)
Том,汤姆(男)
О́льга,奥尔加(女)
Мари́я,玛利亚(女)
Мари́на,马林娜(女)
Оле́г Ме́ньшиков,"奥列格·梅尼什科夫 (演员)"
Алсу́,阿尔苏(歌手)
А́нна Ку́рникова,"安娜·库尔尼科娃 (网球运动员)"
Никола́й Ба́сков,"尼古拉·巴斯科夫 (歌手)"
,
● 地名,
Кита́й,中国
Пеки́н,北京
Росси́я,俄罗斯
Санкт-Петербу́рг,圣彼得堡
Арба́т,阿尔巴特街
Третьяко́вская галере́я,特列季亚科夫美术馆

俄语单词,释义
ча́ща,密林
ещё,"[副]还,再"
ищу́,(我)找
зда́ние,楼房
познако́мьтесь,[命]请认识一下
зуб,牙齿
ка́сса,收款处
рад,高兴
ряд,"排,列,行"
гита́ра,吉他
хи́мия,化学
откры́тка,明信片
библиоте́ка,图书馆
компью́тер,电脑
ле́кция,"(大学)讲课,讲座"
конце́рт,"音乐会,歌舞会"
не́бо,天空
фильм,电影
матрёшка,套娃
пальто́,"[不变,中]大衣"
сала́т,沙拉
стадио́н,体育场
рестора́н,"餐厅,饭店"
дискоте́ка,迪斯科舞会
,
● 人名,
Зи́на,济娜
Ники́та Михалко́в,"尼基塔·米哈尔科夫(导演)"
А́лла Пугачёва,"阿拉·普加乔娃(歌手)"
,
● 地名,
Нил,尼罗河(埃及)
Шанха́й,上海
